catalogue_no,feature_id,feature_name_en,feature_name_vi,feature_block,feature_subblock,specification_tier,selection_origin,recommended_role,supporting_studies,source_location,formula_or_definition,required_raw_concepts,time_requirement,pu_role,expected_dtype,target_component_risk,catalogue_status,mapping_status,candidate_data_source,candidate_columns,source_authorization,coverage_overall,paired_two_year_coverage,coverage_by_year,coverage_by_board,coverage_by_industry,coverage_by_fold,denominator_diagnostics,temporal_eligibility,target_specific_leakage_decision,final_researcher_decision,decision_reason,notes
193,park_nonaudit_fee_ratio,Nonaudit Fee Ratio,Tỷ lệ phí dịch vụ ngoài kiểm toán,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Nonaudit fee divided by source-specified denominator,Nonaudit fee divided by source-specified denominator,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
194,park_nonaudit_fee_percentile,Auditor-level Percentile Rank of Nonaudit Fee,Phân vị phí ngoài kiểm toán theo công ty kiểm toán,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Percentile rank by auditor,Percentile rank by auditor,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
195,park_insider_board_pct,Percentage of Insider Directors,Tỷ lệ thành viên HĐQT nội bộ,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Insider directors / board size,Insider directors / board size,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
196,park_busy_outsider_pct,Percentage of Busy Outside Directors,Tỷ lệ thành viên HĐQT độc lập kiêm nhiệm nhiều vị trí,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Outside directors serving on at least four other boards / outside directors,Outside directors serving on at least four other boards / outside directors,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
197,park_internal_control_weakness,Internal Control Weakness Indicator,Biến chỉ báo điểm yếu kiểm soát nội bộ,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Reported internal-control weakness,Reported internal-control weakness,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
198,park_readability_block,Financial-report Readability Block,Khối chỉ số khả năng đọc của báo cáo tài chính,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Complete eight-measure block from source appendix,Complete eight-measure block from source appendix,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,block,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
199,park_risk_sentiment_block,Financial-report Risk Sentiment Block,Khối sắc thái rủi ro trong báo cáo tài chính,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Complete seven-measure risk-sentiment block from source appendix,Complete seven-measure risk-sentiment block from source appendix,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,block,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
200,prepost_signed_adjustment,Signed Audit Adjustment for Every Eligible Item,Điều chỉnh kiểm toán có dấu cho mọi khoản mục đủ điều kiện,Study contribution,Systematic pre/post-audit universe,N1_RESEARCHER_DESIGNED_SYSTEMATIC,EX_ANTE_RULE_APPLIED_TO_ALL_ELIGIBLE_ITEMS,Novel dissertation block; no fixed ten-item selection,TRA2015 provides prior-adjustment precedent; dissertation measurement design,"Apply only to all items satisfying mapping, authorization, coverage, availability and nonredundancy rules",post_audit_X - pre_audit_X,authorized pre- and post-audit values; audited total assets where scaled,Available at annual anchor; target-component exclusions applied by target,latent_risk_content_and_observability,continuous,high,PROTOCOL_APPROVAL_REQUIRED,,,,,,,,,,,,,,,,"This block is defensible only as a universal rule-based construction, not as a hand-picked list of ten accounts."
201,prepost_absolute_adjustment,Absolute Audit Adjustment for Every Eligible Item,Giá trị tuyệt đối của điều chỉnh kiểm toán cho mọi khoản mục đủ điều kiện,Study contribution,Systematic pre/post-audit universe,N1_RESEARCHER_DESIGNED_SYSTEMATIC,EX_ANTE_RULE_APPLIED_TO_ALL_ELIGIBLE_ITEMS,Novel dissertation block; no fixed ten-item selection,TRA2015 provides prior-adjustment precedent; dissertation measurement design,"Apply only to all items satisfying mapping, authorization, coverage, availability and nonredundancy rules",abs(post_audit_X - pre_audit_X),authorized pre- and post-audit values; audited total assets where scaled,Available at annual anchor; target-component exclusions applied by target,latent_risk_content_and_observability,continuous,high,PROTOCOL_APPROVAL_REQUIRED,,,,,,,,,,,,,,,,"This block is defensible only as a universal rule-based construction, not as a hand-picked list of ten accounts."
202,prepost_asset_scaled_signed,Asset-scaled Signed Audit Adjustment,Điều chỉnh kiểm toán có dấu chuẩn hóa theo tổng tài sản,Study contribution,Systematic pre/post-audit universe,N1_RESEARCHER_DESIGNED_SYSTEMATIC,EX_ANTE_RULE_APPLIED_TO_ALL_ELIGIBLE_ITEMS,Novel dissertation block; no fixed ten-item selection,TRA2015 provides prior-adjustment precedent; dissertation measurement design,"Apply only to all items satisfying mapping, authorization, coverage, availability and nonredundancy rules",(post_audit_X - pre_audit_X) / post_audit_total_assets,authorized pre- and post-audit values; audited total assets where scaled,Available at annual anchor; target-component exclusions applied by target,latent_risk_content_and_observability,continuous,high,PROTOCOL_APPROVAL_REQUIRED,,,,,,,,,,,,,,,,"This block is defensible only as a universal rule-based construction, not as a hand-picked list of ten accounts."
203,prepost_asset_scaled_absolute,Asset-scaled Absolute Audit Adjustment,Giá trị tuyệt đối điều chỉnh kiểm toán chuẩn hóa theo tổng tài sản,Study contribution,Systematic pre/post-audit universe,N1_RESEARCHER_DESIGNED_SYSTEMATIC,EX_ANTE_RULE_APPLIED_TO_ALL_ELIGIBLE_ITEMS,Novel dissertation block; no fixed ten-item selection,TRA2015 provides prior-adjustment precedent; dissertation measurement design,"Apply only to all items satisfying mapping, authorization, coverage, availability and nonredundancy rules",abs(post_audit_X - pre_audit_X) / post_audit_total_assets,authorized pre- and post-audit values; audited total assets where scaled,Available at annual anchor; target-component exclusions applied by target,latent_risk_content_and_observability,continuous,high,PROTOCOL_APPROVAL_REQUIRED,,,,,,,,,,,,,,,,"This block is defensible only as a universal rule-based construction, not as a hand-picked list of ten accounts."
204,prepost_item_adjustment_indicator,Item-level Audit Adjustment Indicator,Biến chỉ báo khoản mục có điều chỉnh kiểm toán,Study contribution,Systematic pre/post-audit universe,N1_RESEARCHER_DESIGNED_SYSTEMATIC,EX_ANTE_RULE_APPLIED_TO_ALL_ELIGIBLE_ITEMS,Novel dissertation block; no fixed ten-item selection,TRA2015 provides prior-adjustment precedent; dissertation measurement design,"Apply only to all items satisfying mapping, authorization, coverage, availability and nonredundancy rules",1 if post_audit_X != pre_audit_X; otherwise 0,authorized pre- and post-audit values; audited total assets where scaled,Available at annual anchor; target-component exclusions applied by target,latent_risk_content_and_observability,continuous,high,PROTOCOL_APPROVAL_REQUIRED,,,,,,,,,,,,,,,,"This block is defensible only as a universal rule-based construction, not as a hand-picked list of ten accounts."
205,prepost_adjusted_item_count,Count of Adjusted Accounting Items,Số khoản mục được điều chỉnh kiểm toán,Study contribution,Systematic pre/post-audit universe,N1_RESEARCHER_DESIGNED_SYSTEMATIC,EX_ANTE_RULE_APPLIED_TO_ALL_ELIGIBLE_ITEMS,Novel dissertation block; no fixed ten-item selection,TRA2015 provides prior-adjustment precedent; dissertation measurement design,"Apply only to all items satisfying mapping, authorization, coverage, availability and nonredundancy rules",Count of eligible items with nonzero adjustment,authorized pre- and post-audit values; audited total assets where scaled,Available at annual anchor; target-component exclusions applied by target,latent_risk_content_and_observability,continuous,high,PROTOCOL_APPROVAL_REQUIRED,,,,,,,,,,,,,,,,"This block is defensible only as a universal rule-based construction, not as a hand-picked list of ten accounts."
206,prepost_group_adjustment_intensity,Accounting-group Audit Adjustment Intensity,Cường độ điều chỉnh kiểm toán theo nhóm khoản mục,Study contribution,Systematic pre/post-audit universe,N1_RESEARCHER_DESIGNED_SYSTEMATIC,EX_ANTE_RULE_APPLIED_TO_ALL_ELIGIBLE_ITEMS,Novel dissertation block; no fixed ten-item selection,TRA2015 provides prior-adjustment precedent; dissertation measurement design,"Apply only to all items satisfying mapping, authorization, coverage, availability and nonredundancy rules",Sum of absolute asset-scaled adjustments within a prespecified statement/mechanism group,authorized pre- and post-audit values; audited total assets where scaled,Available at annual anchor; target-component exclusions applied by target,latent_risk_content_and_observability,continuous,high,PROTOCOL_APPROVAL_REQUIRED,,,,,,,,,,,,,,,,"This block is defensible only as a universal rule-based construction, not as a hand-picked list of ten accounts."
207,prepost_total_adjustment_intensity,Total Audit Adjustment Intensity,Tổng cường độ điều chỉnh kiểm toán,Study contribution,Systematic pre/post-audit universe,N1_RESEARCHER_DESIGNED_SYSTEMATIC,EX_ANTE_RULE_APPLIED_TO_ALL_ELIGIBLE_ITEMS,Novel dissertation block; no fixed ten-item selection,TRA2015 provides prior-adjustment precedent; dissertation measurement design,"Apply only to all items satisfying mapping, authorization, coverage, availability and nonredundancy rules",Sum of absolute asset-scaled adjustments across all eligible items,authorized pre- and post-audit values; audited total assets where scaled,Available at annual anchor; target-component exclusions applied by target,latent_risk_content_and_observability,continuous,high,PROTOCOL_APPROVAL_REQUIRED,,,,,,,,,,,,,,,,"This block is defensible only as a universal rule-based construction, not as a hand-picked list of ten accounts."
208,blocked_firm_id,Direct Firm Identifier,Mã định danh doanh nghiệp trực tiếp,Prohibited predictors,Identity/outcome leakage,BLOCK_PROHIBITED,PROTOCOL_PROHIBITION,Never enter any model feature view,ZAV2025; YANG2026; leakage protocol,Recent PU identity experiment and detection-lag design,Firm ID/ticker/company code/CIK,Firm ID/ticker/company code/CIK,Not applicable,prohibited,identifier_or_outcome,critical,BLOCKED,,,,,,,,,,,,,,,,May remain as a key/outcome-side field outside the predictor matrix.
209,blocked_company_name_embedding,Company-name or Identity-derived Encoding,Mã hóa từ tên hoặc danh tính doanh nghiệp,Prohibited predictors,Identity/outcome leakage,BLOCK_PROHIBITED,PROTOCOL_PROHIBITION,Never enter any model feature view,ZAV2025; YANG2026; leakage protocol,Recent PU identity experiment and detection-lag design,"Name, ticker, hash, embedding or one-hot identity","Name, ticker, hash, embedding or one-hot identity",Not applicable,prohibited,identifier_or_outcome,critical,BLOCKED,,,,,,,,,,,,,,,,May remain as a key/outcome-side field outside the predictor matrix.
210,blocked_future_detection_lag,Future Detection Lag,Độ trễ phát hiện trong tương lai,Prohibited predictors,Identity/outcome leakage,BLOCK_PROHIBITED,PROTOCOL_PROHIBITION,Never enter any model feature view,ZAV2025; YANG2026; leakage protocol,Recent PU identity experiment and detection-lag design,Time from fiscal year to a future discovery/enforcement event,Time from fiscal year to a future discovery/enforcement event,Not applicable,prohibited,identifier_or_outcome,critical,BLOCKED,,,,,,,,,,,,,,,,May remain as a key/outcome-side field outside the predictor matrix.
211,blocked_future_enforcement,Future Enforcement Information,Thông tin xử phạt trong tương lai,Prohibited predictors,Identity/outcome leakage,BLOCK_PROHIBITED,PROTOCOL_PROHIBITION,Never enter any model feature view,ZAV2025; YANG2026; leakage protocol,Recent PU identity experiment and detection-lag design,"Decision date, sanction amount or future enforcement outcome","Decision date, sanction amount or future enforcement outcome",Not applicable,prohibited,identifier_or_outcome,critical,BLOCKED,,,,,,,,,,,,,,,,May remain as a key/outcome-side field outside the predictor matrix.
